gene_id	module
FBgn0003334	blue
FBgn0003345	green
FBgn0003346	turquoise
FBgn0003360	turquoise
FBgn0003366	turquoise
FBgn0003373	grey
FBgn0003382	turquoise
FBgn0003386	black
FBgn0003388	yellow
FBgn0003390	turquoise
FBgn0003391	green
FBgn0003396	turquoise
FBgn0003410	turquoise
FBgn0003411	brown
FBgn0003435	blue
FBgn0003450	blue
FBgn0003459	yellow
FBgn0003460	green
FBgn0003462	turquoise
FBgn0003464	turquoise
FBgn0003483	blue
FBgn0003495	yellow
FBgn0003502	turquoise
FBgn0003514	brown
FBgn0003517	brown
FBgn0003520	green
FBgn0003525	turquoise
FBgn0003557	turquoise
FBgn0003567	yellow
FBgn0003598	yellow
FBgn0003607	blue
FBgn0003612	blue
FBgn0003638	green
FBgn0003651	brown
FBgn0003701	yellow
FBgn0003716	turquoise
FBgn0003719	turquoise
FBgn0003721	turquoise
FBgn0003731	turquoise
FBgn0003733	green
FBgn0003742	blue
FBgn0003861	yellow
FBgn0003862	green
FBgn0003863	grey
FBgn0003866	yellow
FBgn0003884	blue
FBgn0003885	brown
FBgn0003886	turquoise
FBgn0003888	brown
FBgn0003889	brown
FBgn0003890	turquoise
FBgn0003891	green
FBgn0003896	green
FBgn0003900	turquoise
FBgn0003931	turquoise
FBgn0003942	blue
FBgn0003943	turquoise
FBgn0003944	red
FBgn0003950	blue
FBgn0003977	blue
FBgn0003979	yellow
FBgn0003996	green
FBgn0003997	blue
FBgn0004003	turquoise
FBgn0004034	red
FBgn0004049	yellow
FBgn0004050	yellow
FBgn0004053	brown
FBgn0004055	turquoise
FBgn0004057	blue
FBgn0004102	blue
FBgn0004103	green
FBgn0004106	yellow
FBgn0004108	turquoise
FBgn0004117	turquoise
FBgn0004133	blue
FBgn0004167	turquoise
FBgn0004169	turquoise
FBgn0004171	turquoise
FBgn0004172	turquoise
FBgn0004173	brown
FBgn0004174	turquoise
FBgn0004175	turquoise
FBgn0004177	green
FBgn0004191	blue
FBgn0004197	brown
FBgn0004198	yellow
FBgn0004227	blue
FBgn0004237	yellow
FBgn0004240	grey
FBgn0004242	blue
FBgn0004362	brown
FBgn0004363	turquoise
FBgn0004369	turquoise
FBgn0004372	blue
FBgn0004373	yellow
FBgn0004374	yellow
FBgn0004378	yellow
FBgn0004379	blue
FBgn0004380	blue
FBgn0004381	blue
FBgn0004389	blue
FBgn0004394	grey
FBgn0004395	turquoise
FBgn0004396	red
FBgn0004397	turquoise
FBgn0004400	blue
FBgn0004401	blue
FBgn0004403	brown
FBgn0004406	red
FBgn0004432	brown
FBgn0004435	red
FBgn0004449	turquoise
FBgn0004456	turquoise
FBgn0004463	blue
FBgn0004465	red
FBgn0004507	turquoise
FBgn0004509	turquoise
FBgn0004512	yellow
FBgn0004513	red
FBgn0004569	red
FBgn0004573	turquoise
FBgn0004577	red
FBgn0004580	brown
FBgn0004581	turquoise
FBgn0004583	turquoise
FBgn0004589	turquoise
FBgn0004595	green
FBgn0004598	red
FBgn0004607	red
FBgn0004611	brown
FBgn0004618	blue
FBgn0004623	blue
FBgn0004629	turquoise
FBgn0004635	turquoise
FBgn0004638	black
FBgn0004644	turquoise
FBgn0004647	blue
FBgn0004648	turquoise
FBgn0004649	yellow
FBgn0004650	brown
FBgn0004652	green
FBgn0004657	turquoise
